Zip Code,Unemployment Rate (%)
34269,7.5
34275,3.4
34285,5.5
34286,4.1
34287,2.0
34288,4.2
34289,1.9
34291,2.0
34292,2.4
34293,3.2
34420,4.4
34428,5.1
34429,6.7
34431,3.5
34432,7.1
34433,5.8
34434,6.4
34436,6.0
34442,11.0
34445,Unavailable
34446,8.3
34448,10.4
34449,6.9
34450,9.7
34452,6.1
34453,2.2
34461,6.3
34465,8.1
34470,6.8
34471,6.5
34472,3.7
34473,4.7
34474,7.8
34475,10.6
34476,6.9
34478,Unavailable
34479,4.2
34480,3.9
34481,7.4
34482,4.9
34484,1.0
34488,4.0
34491,6.5
34498,9.3
34601,4.4
34602,4.0
34604,3.4
34606,7.3
34607,12.3
34608,4.8
34609,7.2
34610,3.8
34613,5.2
34614,4.3
34637,7.1
34638,2.4
34639,3.9
34652,4.8
34653,6.3
34654,10.2
34655,3.7
34661,59.1
34667,6.3
34668,5.5
34669,3.4
34677,6.2
34679,Unavailable
34681,3.3
34683,2.3
34684,3.7
34685,3.0
34688,8.1
34689,5.5
34690,6.6
34691,7.3
34695,4.4
34698,4.9
34705,8.6
34711,4.3
34714,5.8
34715,2.8
34729,Unavailable
34731,8.0
34734,2.3
34736,4.9
34737,1.3
34739,Unavailable
34741,7.3
34743,6.2
34744,4.2
34746,5.0
34747,5.1
34748,7.5
34753,3.5
34756,4.4
34758,5.1
34759,4.4
34760,6.6
34761,5.1
34762,Unavailable
34769,7.4
34771,3.9
34772,4.7
34773,8.2
34785,7.7
34786,3.3
34787,4.8
34788,6.8
34797,Unavailable
34945,1.7
34946,6.1
34947,7.0
34949,5.5
34950,19.0
34951,4.4
34952,5.2
34953,5.2
34956,3.8
34957,4.9
34972,6.8
34974,6.0
34979,Unavailable
34981,1.7
34982,4.5
34983,4.1
34984,7.7
34985,Unavailable
34986,10.2
34987,3.9
34988,Unavailable
34990,5.3
34994,4.5
34996,1.9
34997,3.8
349MH,5.3
349MX,5.3
00000,5.3
32406,Unavailable
32616,Unavailable
32658,26.4
33101,Unavailable
Unkno,5.3
32013,Unavailable
32306,27.4
32323,Unavailable
